LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
446;19529;19326;22504;26387;20850;3720;16143;25525;12069;23197;33728;21192;21173;18529
447;19494;19518;22718;26039;20902;3680;13593;25474;12281;23220;33661;21157;21624;18328
448;19487;19624;22515;26061;20648;3740;13463;25525;12197;23017;33661;21186;21688;18302
449;19494;19511;22497;26492;20562;3637;16005;25448;12092;22973;33794;21107;21194;18464
450;19490;19168;22384;26862;21112;3728;13625;25398;12281;22667;33761;21212;21539;18324
451;19458;19459;22841;26714;21022;3716;17724;25448;12250;23084;33929;21127;20805;18706
452;19547;19452;22560;26122;20678;3705;17219;25376;12011;22474;33628;21107;21152;18532
453;19102;19532;22507;26216;20847;3680;16160;25423;12023;22841;33497;21260;21111;18447
454;19345;19452;22322;26444;20821;3705;17358;25545;12162;22907;33562;21290;21427;18623
455;19508;19386;22393;26750;20711;3698;13453;25596;12174;23017;33464;21283;21496;18290
456;19490;19552;22224;26018;20746;3735;13512;25448;11977;23152;33628;21192;21602;18258
457;19494;19234;22265;26714;20729;3709;13796;25351;12150;22775;33562;21215;21427;18273
458;19529;19293;22256;26640;21108;3626;13976;25525;12353;23107;33661;21102;21667;18352
459;19536;19465;21710;26418;21008;3698;17537;25525;12351;23310;33895;21061;21173;18649
460;19526;19218;22236;26640;20492;3691;17219;25376;12081;22688;33695;21119;21090;18523
461;19529;19386;22431;27010;20987;3728;17749;25474;12582;22973;34064;21242;21624;18802
462;19466;19650;22774;26220;20813;3720;13614;25474;12197;22645;33828;21080;21342;18298
463;19504;19306;22216;26788;20851;3318;14228;25474;12546;23062;33794;21165;21560;18259
464;19536;19306;22389;26936;20602;3735;13339;25474;11966;22688;33661;21036;21342;18221
465;19543;19292;22393;26613;20903;3637;17333;25474;12525;22885;31304;21116;21257;18530
466;19540;19392;22564;26783;20670;3694;15752;25398;12209;23129;33595;21230;21406;18520
467;19395;19927;22552;26243;20892;3676;17586;25398;12209;23152;31274;21150;21048;18554
468;19529;19492;22597;26439;21053;3713;13541;25525;12057;22907;33661;21236;21667;18325
469;19483;19340;22112;26317;20943;3687;17675;25499;12550;22907;31064;21152;21645;18569
470;19504;19287;22434;26566;20629;3705;13463;25398;12139;22929;33728;21072;21300;18237
471;19430;19789;22360;26418;21070;3716;17667;25398;12451;22995;31244;21059;20413;18545
472;19501;19416;22399;26270;20784;3694;13456;25525;12115;22797;33861;21275;20930;18225
473;19508;19485;22571;26418;20690;3683;13558;25474;12475;23017;33661;21163;21257;18307
474;19504;19326;22468;26418;20690;3676;13593;25545;12139;22819;33562;21184;21840;18278
475;19437;19986;21992;26714;20922;3680;17594;25474;12617;22907;33761;21236;21278;18722
476;19240;19947;22007;26418;21066;3702;17235;25525;12353;22841;31487;21050;21300;18536
477;19533;19340;22100;26788;20921;3669;17635;25448;12228;23129;33794;21149;21131;18645
478;19215;19531;22672;26566;20986;3698;17464;25499;12525;22775;31124;21137;21560;18587
479;19518;19445;22115;26270;20874;3676;17985;25448;12784;22474;33628;21084;21342;18678
480;19497;19683;22043;26539;20819;3731;17121;25525;12305;23084;31154;21080;21667;18550
481;19508;19227;22134;26640;20995;3367;15646;25499;12221;22929;33728;21095;21496;18349
482;19522;19267;22550;26566;20997;3694;17529;25448;12081;23220;33695;21224;21581;18681
483;19550;19432;22722;26566;21032;3694;17667;25448;12273;22797;33728;20812;21363;18675
484;19504;19412;22564;26092;20634;3720;16037;25448;12150;23084;33464;21141;21774;18521
485;19533;19294;22432;26243;20866;3716;16665;25423;12127;22753;33595;21240;21517;18554
486;19508;19406;22803;26761;20987;3713;17341;25474;11619;23017;33562;18429;21688;18441
487;19462;19525;22543;26344;20561;3716;17097;25376;12562;22885;30357;21181;20909;18460
488;19173;19387;22097;26251;20837;3728;16111;25474;12046;21232;33595;21199;21517;18360
489;19314;19538;22303;26742;20671;3716;17366;25376;12081;22973;33695;21151;20682;18567
490;19540;19433;22758;26755;20608;3731;17529;25448;12104;22973;33661;21125;21321;18668
491;19497;19479;22563;26208;20768;3702;13555;25474;12069;22819;33431;21090;21131;18224
492;19307;19474;22115;26165;21015;3662;17227;25376;12150;22863;31124;21086;21517;18450
493;19526;19432;22224;26539;20380;3735;15915;25499;12500;22951;33562;21060;21385;18512
494;18625;19690;22424;26822;20653;3683;17806;25423;12562;22688;31124;21077;21406;18532
495;19254;19425;22632;26714;20862;3665;13430;25474;12525;23107;33695;21187;21818;18346
496;19508;19478;22736;26182;20850;3683;17284;25423;12186;22995;31034;21008;21427;18507
497;19275;19260;22572;26165;20728;3705;16094;25398;12162;23197;33861;21178;21602;18517
498;19526;19392;22305;26566;20652;3687;16029;25398;12046;22688;33929;21227;21257;18469
499;19476;19373;22304;26640;21069;3716;17724;25571;12587;22907;30975;21096;21796;18635
500;19497;19267;22299;26402;20761;3731;16103;25545;12057;23220;33728;21039;21427;18513
