LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
245;19469;19442;22209;26335;20689;3669;13406;25571;12011;22538;33929;21224;21645;18215
246;19483;19281;22317;27022;20808;3716;13481;25326;12104;22841;33628;20820;20888;18208
247;19543;19565;22553;26243;20637;3698;15817;25474;12593;22841;33628;21224;21688;18559
248;19543;19386;22455;26761;20726;3728;13562;25300;12023;22907;33695;21304;21363;18282
249;19536;19388;22339;26344;20674;3673;13426;25448;12269;22517;33595;21277;21539;18232
250;19526;19425;22416;27084;21024;3637;17056;25525;12139;22797;33794;21098;21363;18619
251;19307;19498;22370;26506;20984;3644;17627;25474;12306;23040;33728;21280;21090;18644
252;19533;19347;22338;26366;20794;3728;15622;25525;12069;23062;32948;21254;21152;18433
253;19529;19538;22558;26842;20787;3687;13561;25499;12197;22907;33728;21362;21406;18331
254;19511;19300;22226;26856;21005;3691;17692;25474;12329;22863;33996;21263;21581;18714
255;19543;19369;22741;26449;20621;3615;17260;25474;12092;22517;33464;21286;21406;18559
256;19285;19333;22697;26613;20960;3705;16852;25203;12269;23107;31579;21147;21069;18495
257;19557;19399;22430;26566;20977;3626;17260;25474;12605;22841;33828;21208;21215;18655
258;19522;19439;22377;26407;20671;3728;13492;25474;12092;22907;33861;21361;21342;18277
259;19533;19416;20833;26613;20581;3662;13537;25571;12069;23062;33628;21144;21152;18136
260;19540;19439;22495;26788;20836;3709;16852;25448;12057;23084;33929;21321;21517;18643
261;19261;19445;22270;26391;20712;3728;17292;25474;12127;22995;33828;21245;21173;18594
262;19504;19115;22411;26006;20697;3687;16046;25448;12174;23242;33996;21196;21236;18480
263;19515;19511;22300;26936;21037;3691;13412;25423;12104;23107;34030;21230;21111;18301
264;19522;19412;22537;26575;20995;3651;13418;25474;12293;22538;34030;21196;20971;18251
265;19526;19379;22628;26788;20937;3658;16535;25423;12174;22156;33595;21261;21560;18544
266;19557;19547;22348;26251;20762;3716;17358;25499;12034;22645;33661;21199;21173;18584
267;19462;19618;22570;26640;20737;3673;14188;25448;12605;23197;33861;21181;21385;18430
268;19554;19366;22460;26788;20838;3702;17553;25474;12023;23062;33628;21251;21215;18650
269;19497;19386;22310;26539;20795;3644;15997;25474;12162;22995;33595;21204;21069;18465
